text,old_EV,new_EV,EV_reason,old_AS,new_AS,AS_reason,changed
Our crowd-sourced safety app could help women navigate public spaces. Users report unsafe zones and incidents. What happens when false reports stigmatise certai,0,0,"No research, data, or prior work cited supporting the app's effectiveness.",1,1,Explicitly acknowledges unexamined risk: false reports could stigmatise communities and harm livelihoods.,
"Users will adopt our savings app because it automatically rounds up transactions and invests the change. Similar apps have succeeded in the US market, so we bel",0,0,"Similar apps mentioned but no data, outcomes, or Indian user research cited.",1,0,No explicit assumptions stated; dependencies and conditions remain unstated.,YES
"Our childcare centre might enable more women to work. We provide daycare for children aged 2-6 years of factory workers in Tiruppur, operating during standard f",0,0,Claims effect on women's work without data or research support.,1,1,Explicitly states design operates during factory shifts only; acknowledges employment effects unmeasured.,
Youth in urban slums of Mumbai need career aspiration expansion platforms to discover opportunities beyond limited options visible in their immediate communitie,1,1,Pre-post study with 347 adolescents; 12 additional pathways finding cited.,1,1,"Explicitly names dependencies: smartphone access, protected engagement time, educational access limitations.",
Hearing-impaired students at mainstream schools in Hyderabad need sign language interpreter access during classroom instruction when inclusive education policie,1,1,"Cites intervention across 23 schools, 89 deaf students, with specific outcome data: 53% academic performance improvement",1,1,Explicitly states assumptions about interpreter competency and teacher coordination; names constraints (ISL familiarity ,
The concept investigates assistive technology lending libraries for rural populations. Disability sector studies indicate high unmet need but logistics of maint,1,1,References disability sector studies showing unmet need; cites prior work.,1,0,Identifies challenges but does not explicitly name required conditions or dependencies.,YES
We will analyse transaction data from the pilot period to assess adoption.,1,0,Prospective analysis planned; no findings or data presented yet.,0,0,No explicit assumptions or dependencies named in the text.,YES
The pilot will test the intervention with 100 participants over 6 months.,1,0,Prospective plan stated; no findings or data reported yet.,0,0,No explicit assumptions or dependencies named.,YES
Spinal cord injury patients lack physiotherapy access after discharge. Our tele-rehabilitation programme provides daily guided exercises for patients across Kar,0,0,"Claims problem and solution; no data, research, or findings cited.",0,0,"No explicit conditions, dependencies, or limitations named.",
Denotified tribes face extreme stigma and lack of identity documents. Our rehabilitation programme supports 500 families across Maharashtra. Documentation drive,0,0,Scale (500 families) stated without outcome or finding reported.,0,0,"No explicit conditions, dependencies, or limitations named.",
Elderly persons need social connection to prevent isolation. Our volunteer visitor programme assumes seniors will welcome strangers into their homes. Regular in,0,0,"Claims about elderly isolation and mental wellbeing lack citations, data, or research references.",1,1,Explicitly states assumption: seniors will welcome strangers into homes.,
The peer support network connects cancer patients across India. Participants join through WhatsApp groups and must have smartphone data plans.,0,0,"No research, data, or findings cited; claims asserted without support.",1,1,Explicitly states dependency: 'must have smartphone data plans'.,
"Farmers need crop insurance to manage weather risks. Our index-based product provides automatic payouts for 5,000 smallholders in Vidarbha. Risk coverage enable",0,0,"Claims farmers need insurance and describes programme scale; no research, data, or findings cited.",1,0,"No explicit statement of conditions, dependencies, or uncertainties required for success.",YES
12% of students screened needed glasses; 87% were undiagnosed. Spectacle provision will track academic improvement over two semesters.,1,1,"Cites screening data: 12% needed glasses, 87% undiagnosed.",0,0,"No explicit assumptions named; tracking plan is prospective, not acknowledged dependency.",
Our education intervention improves learning outcomes through teacher training. Trained educators use activity-based methods in classrooms. The programme operat,0,0,"Claims improvement without citing data, research, or outcomes.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
Rural patients in Rajasthan need telemedicine options to avoid travelling long distances for basic consultations. People in remote areas face significant barrie,0,0,"Claims about patient needs and barriers stated without research, data, or observations cited.",1,0,"No explicit assumptions named. Dependencies (connectivity, device access, etc.) remain unstated.",YES
